,WALCL,RRP,TGA,BTC,OIL,DXY,GOLD,HYG,SPY,MOVE,US10Y,VIX
2025-04-03,6723452.0,196.265,313326.0,83102.828125,66.94999694824219,102.06999969482422,3097.0,77.87000274658203,536.7000122070312,112.0,4.054999828338623,30.020000457763672
2025-04-04,6723452.0,184.499,313326.0,83843.8046875,61.9900016784668,103.0199966430664,3012.0,76.76000213623047,505.2799987792969,125.70999908447266,3.984999895095825,45.310001373291016
2025-04-05,6723452.0,184.499,313326.0,83504.796875,61.9900016784668,103.0199966430664,3012.0,76.76000213623047,505.2799987792969,125.70999908447266,3.984999895095825,45.310001373291016
2025-04-06,6723452.0,184.499,313326.0,78214.484375,61.9900016784668,103.0199966430664,3012.0,76.76000213623047,505.2799987792969,125.70999908447266,3.984999895095825,45.310001373291016
2025-04-07,6723452.0,148.146,313326.0,79235.3359375,60.70000076293945,103.26000213623047,2951.300048828125,76.0999984741211,504.3800048828125,137.3000030517578,4.15500020980835,46.97999954223633
2025-04-08,6723452.0,156.911,313326.0,76271.953125,59.58000183105469,102.95999908447266,2968.39990234375,75.75,496.4800109863281,139.8800048828125,4.26200008392334,52.33000183105469
2025-04-09,6727416.0,168.115,306049.0,82573.953125,62.349998474121094,102.9000015258789,3056.5,77.77999877929688,548.6199951171875,128.8300018310547,4.400000095367432,33.619998931884766
2025-04-10,6727416.0,129.95,306049.0,79626.140625,60.06999969482422,100.87000274658203,3155.199951171875,76.51000213623047,524.5800170898438,128.35000610351562,4.394000053405762,40.720001220703125
2025-04-11,6727416.0,98.531,306049.0,83404.8359375,61.5,99.77999877929688,3222.199951171875,76.73999786376953,533.9400024414062,137.25999450683594,4.493000030517578,37.560001373291016
2025-04-12,6727416.0,98.531,306049.0,85287.109375,61.5,99.77999877929688,3222.199951171875,76.73999786376953,533.9400024414062,137.25999450683594,4.493000030517578,37.560001373291016
2025-04-13,6727416.0,98.531,306049.0,83684.9765625,61.5,99.77999877929688,3222.199951171875,76.73999786376953,533.9400024414062,137.25999450683594,4.493000030517578,37.560001373291016
2025-04-14,6727416.0,102.838,306049.0,84542.390625,61.529998779296875,99.63999938964844,3204.800048828125,77.12000274658203,539.1199951171875,132.4600067138672,4.363999843597412,30.889999389648438
2025-04-15,6727416.0,88.878,306049.0,83668.9921875,61.33000183105469,100.22000122070312,3218.699951171875,77.33000183105469,537.6099853515625,122.55999755859375,4.322999954223633,30.1200008392334
2025-04-16,6727113.0,54.772,422983.0,84033.8671875,62.470001220703125,99.37999725341797,3326.60009765625,77.31999969482422,525.6599731445312,119.4000015258789,4.2789998054504395,32.63999938964844
2025-04-17,6727113.0,58.6,422983.0,84895.75,64.68000030517578,99.37999725341797,3308.699951171875,77.7699966430664,526.4099731445312,114.63999938964844,4.333000183105469,29.649999618530273
2025-04-18,6727113.0,58.6,422983.0,84450.8046875,64.68000030517578,99.37999725341797,3308.699951171875,77.7699966430664,526.4099731445312,114.63999938964844,4.333000183105469,29.649999618530273
2025-04-19,6727113.0,58.6,422983.0,85063.4140625,64.68000030517578,99.37999725341797,3308.699951171875,77.7699966430664,526.4099731445312,114.63999938964844,4.333000183105469,29.649999618530273
2025-04-20,6727113.0,58.6,422983.0,85174.3046875,64.68000030517578,99.37999725341797,3308.699951171875,77.7699966430664,526.4099731445312,114.63999938964844,4.333000183105469,29.649999618530273
2025-04-21,6727113.0,114.114,422983.0,87518.90625,63.08000183105469,98.27999877929688,3406.199951171875,77.30999755859375,513.8800048828125,128.55999755859375,4.40500020980835,33.81999969482422
2025-04-22,6727113.0,137.951,422983.0,93441.890625,64.30999755859375,98.91999816894531,3400.800048828125,77.61000061035156,527.25,118.3499984741211,4.388999938964844,30.56999969482422
